playerID,nameFirst,nameLast,birthYear,birthMonth,fullName
alberha01,Hanser,Alberto,1992,10,Hanser Alberto
alberjo01,Jose,Alberro,1969,6,Jose Alberro
alberjo02,Johnny,Albertson,1902,2,Johnny Albertson
alberma01,Matt,Albers,1983,1,Matt Albers
albieoz01,Ozzie,Albies,1997,1,Ozzie Albies
albosed01,Ed,Albosta,1918,10,Ed Albosta
albreed01,Ed,Albrecht,1929,2,Ed Albrecht
albrial01,Alex,Albritton,1892,2,Alex Albritton
albrija01,Jack,Albright,1921,6,Jack Albright
albrith01,Thomas,Albright,1909,12,Thomas Albright
albural01,Al,Alburquerque,1986,6,Al Alburquerque
alburvi01,Vic,Albury,1947,5,Vic Albury
alcaljo01,Jorge,Alcala,1995,7,Jorge Alcala
alcalsa01,Santo,Alcala,1952,12,Santo Alcala
alcanar01,Arismendy,Alcantara,1991,10,Arismendy Alcantara
alcanis01,Israel,Alcantara,1973,5,Israel Alcantara
alcanke01,Kevin,Alcántara,2002,7,Kevin Alcántara
alcanra01,Raul,Alcantara,1992,12,Raul Alcantara
alcansa01,Sandy,Alcantara,1995,9,Sandy Alcantara
alcanse01,Sergio,Alcantara,1996,7,Sergio Alcantara
alcanvi01,Victor,Alcantara,1993,4,Victor Alcantara
alcarlu01,Luis,Alcaraz,1941,6,Luis Alcaraz
alcocsc01,Scotty,Alcock,1885,11,Scotty Alcock
aldegsa01,Sam,Aldegheri,2001,9,Sam Aldegheri
alderda01,Dale,Alderson,1918,3,Dale Alderson
aldremi01,Mike,Aldrete,1961,1,Mike Aldrete
aldresc01,Scott,Aldred,1968,6,Scott Aldred
aldrico01,Cory,Aldridge,1979,6,Cory Aldridge
aldrija01,Jay,Aldrich,1961,4,Jay Aldrich
aldrivi01,Vic,Aldridge,1893,10,Vic Aldridge
alenoch01,Chuck,Aleno,1917,2,Chuck Aleno
alexabl01,Blaze,Alexander,1999,6,Blaze Alexander
alexabo01,Bob,Alexander,1922,8,Bob Alexander
alexabu01,Buck,Alexander,1894,8,Buck Alexander
alexach01,Chuffie,Alexander,1902,3,Chuffie Alexander
alexacj01,CJ,Alexander,1996,7,CJ Alexander
alexada01,Dale,Alexander,1903,4,Dale Alexander
alexado01,Doyle,Alexander,1950,9,Doyle Alexander
alexaga01,Gary,Alexander,1953,3,Gary Alexander
alexage01,Gerald,Alexander,1968,3,Gerald Alexander
alexahu01,Hugh,Alexander,1917,7,Hugh Alexander
alexaja01,Jason,Alexander,1993,3,Jason Alexander
alexako01,Koke,Alexander,1888,2,Koke Alexander
alexama01,Matt,Alexander,1947,1,Matt Alexander
alexama02,Manny,Alexander,1971,3,Manny Alexander
alexani01,Nin,Alexander,1858,11,Nin Alexander
alexape01,Pete,Alexander,1887,2,Pete Alexander
alexasc01,Scott,Alexander,1989,7,Scott Alexander
alexasp01,Spencer,Alexander,1916,9,Spencer Alexander
alexate01,Ted,Alexander,1912,9,Ted Alexander
alexaty01,Tyler,Alexander,1994,7,Tyler Alexander
alexawa01,Walt,Alexander,1891,3,Walt Alexander
alexyaj01,A. J.,Alexy,1998,4,A. J. Alexy
alfarja01,Jason,Alfaro,1977,11,Jason Alfaro
alfarjo01,Jorge,Alfaro,1993,6,Jorge Alfaro
alfonan01,Antonio,Alfonseca,1972,4,Antonio Alfonseca
alfonan02,Ángel,Alfonso,1901,,Ángel Alfonso
alfoned01,Edgardo,Alfonzo,1973,11,Edgardo Alfonzo
alfonel01,Eliezer,Alfonzo,1979,2,Eliezer Alfonzo
alforan01,Anthony,Alford,1994,7,Anthony Alford
alicelu01,Luis,Alicea,1965,7,Luis Alicea
allanan01,Andy,Allanson,1961,12,Andy Allanson
allarbr01,Brian,Allard,1958,1,Brian Allard
allarko01,Kolby,Allard,1997,8,Kolby Allard
alldrca01,Cam,Alldred,1996,7,Cam Alldred
allen01,,Allen,,, Allen
allenal01,Alex,Allen,,,Alex Allen
allenau01,Austin,Allen,1994,1,Austin Allen
allenbe01,Bernie,Allen,1939,4,Bernie Allen
allenbo01,Bob,Allen,1867,7,Bob Allen
allenbo02,Bob,Allen,1894,10,Bob Allen
allenbo03,Earl,Allen,1914,7,Earl Allen
allenbo04,Bob,Allen,1937,10,Bob Allen
allenbr01,Brandon,Allen,1986,2,Brandon Allen
allenbu01,Buddy,Allen,1914,11,Buddy Allen
allench01,Chad,Allen,1975,2,Chad Allen
allencl01,Cliney,Allen,1910,,Cliney Allen
allencl02,Clifford,Allen,,,Clifford Allen
allenco01,Cody,Allen,1988,11,Cody Allen
allendi01,Dick,Allen,1942,3,Dick Allen
allendu01,Dusty,Allen,1972,8,Dusty Allen
allenet01,Ethan,Allen,1904,1,Ethan Allen
allenfr01,Frank,Allen,1888,8,Frank Allen
allenga01,Gary,Allenson,1955,2,Gary Allenson
allengr01,Greg,Allen,1993,3,Greg Allen
allenha01,Ham,Allen,1846,4,Ham Allen
allenha02,Hank,Allen,1940,7,Hank Allen
allenha03,Half Pint,Allen,1906,1,Half Pint Allen
allenhe01,Hezekiah,Allen,1863,2,Hezekiah Allen
allenho01,Horace,Allen,1899,6,Horace Allen
allenho02,Hosea,Allen,1918,10,Hosea Allen
allenja01,Jack,Allen,1855,10,Jack Allen
allenja02,Jamie,Allen,1958,5,Jamie Allen
allenje01,Jermaine,Allensworth,1972,1,Jermaine Allensworth
allenjo01,John,Allen,1890,10,John Allen
allenjo02,Johnny,Allen,1904,9,Johnny Allen
allenki01,Kim,Allen,1953,4,Kim Allen
allenll01,Lloyd,Allen,1950,5,Lloyd Allen
allenlo01,Logan,Allen,1997,5,Logan Allen
allenlo02,Logan,Allen,1998,9,Logan Allen
allenlu01,Luke,Allen,1978,8,Luke Allen
allenma01,Major,Allen,1896,4,Major Allen
allenmy01,Myron,Allen,1854,3,Myron Allen
allenne01,Neil,Allen,1958,1,Neil Allen
allenne02,Newt,Allen,1901,5,Newt Allen
allenni01,Nick,Allen,1888,9,Nick Allen
allenni02,Nick,Allen,1998,10,Nick Allen
allenpe01,Pete,Allen,1868,5,Pete Allen
allenro01,Ron,Allen,1943,12,Ron Allen
allenro02,Rod,Allen,1959,10,Rod Allen
allensl01,Sled,Allen,1886,8,Sled Allen
allento01,Todd,Allen,1885,1,Todd Allen
allento02,Toussaint,Allen,1896,6,Toussaint Allen
alleyge01,Gene,Alley,1940,7,Gene Alley
allgeni01,Nick,Allgeyer,1996,2,Nick Allgeyer
alliebo01,Bob,Allietta,1952,5,Bob Allietta
alliega01,Gair,Allie,1931,10,Gair Allie
allis01,,Allison,,, Allison
allisan01,Andy,Allison,1848,,Andy Allison
allisar01,Art,Allison,1849,1,Art Allison
allisbi01,Bill,Allison,1850,7,Bill Allison
allisbo01,Bob,Allison,1934,7,Bob Allison
allisda01,Dana,Allison,1966,8,Dana Allison
allisdo01,Doug,Allison,1846,7,Doug Allison
allisma01,Mack,Allison,1887,1,Mack Allison
allismi01,Milo,Allison,1890,10,Milo Allison
allismo01,Moody,Allison,,,Moody Allison
allrebe01,Beau,Allred,1965,6,Beau Allred
almadme01,Mel,Almada,1913,2,Mel Almada
almanar01,Armando,Almanza,1972,10,Armando Almanza
almanca01,Carlos,Almanzar,1973,11,Carlos Almanzar
almeira01,Rafael,Almeida,1887,6,Rafael Almeida
almonab01,Abraham,Almonte,1989,6,Abraham Almonte
almonbi01,Bill,Almon,1952,11,Bill Almon
almoned01,Edwin,Almonte,1976,12,Edwin Almonte
almoner01,Erick,Almonte,1978,2,Erick Almonte
almonhe01,Hector,Almonte,1975,10,Hector Almonte
