age,age_sq,n_seasons,prev_AVG,prev_R,prev_H,prev_HR,prev_RBI,prev_2B,prev_SB,prev_BB,prev_OBP,prev_SLG,prev_PA,prev_G,prev_SO,wavg3_AVG,wavg3_R,wavg3_H,wavg3_HR,wavg3_RBI,wavg3_2B,wavg3_SB,wavg3_BB,wavg3_OBP,wavg3_SLG,career_AVG,career_R,career_H,career_HR,career_RBI,career_2B,career_SB,career_BB,career_OBP,career_SLG,trend_AVG,trend_R,trend_H,trend_HR,trend_RBI,trend_2B,trend_SB,trend_BB,trend_OBP,trend_SLG
31,961,6,0.235,28,43,7,28.0,9,8.0,32,0.353,0.399,218.0,86,59.0,0.21749999999999997,33.666666666666664,49.666666666666664,9.5,33.33333333333333,10.0,8.833333333333332,33.5,0.3233333333333333,0.38866666666666666,0.21200000000000005,37.0,60.0,9.666666666666666,35.166666666666664,13.0,6.5,37.833333333333336,0.3085,0.3675,0.035999999999999976,-17.0,-17.0,-5.0,-15.0,0.0,-5.0,-7.0,0.05199999999999999,0.038000000000000034
25,625,1,0.258,62,139,16,53.0,27,19.0,43,0.317,0.416,587.0,148,174.0,0.258,62.0,139.0,16.0,53.0,27.0,19.0,43.0,0.317,0.416,0.258,62.0,139.0,16.0,53.0,27.0,19.0,43.0,0.317,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,961,9,0.272,89,160,29,98.0,25,13.0,57,0.334,0.48,656.0,152,90.0,0.2758333333333334,84.33333333333333,151.16666666666666,24.833333333333332,91.16666666666666,25.0,12.833333333333332,50.166666666666664,0.33466666666666667,0.4695,0.2545555555555556,76.66666666666667,122.44444444444444,25.0,77.22222222222223,23.444444444444443,11.555555555555555,52.111111111111114,0.32822222222222225,0.473,0.006000000000000005,17.0,23.0,11.0,20.0,2.0,4.0,12.0,0.009000000000000008,0.05399999999999999
34,1156,9,0.237,54,111,22,63.0,16,0.0,57,0.325,0.417,533.0,140,88.0,0.24266666666666664,56.33333333333333,122.66666666666666,21.0,67.5,20.333333333333332,0.0,56.0,0.323,0.41333333333333333,0.25322222222222224,65.11111111111111,124.22222222222223,21.11111111111111,73.0,24.11111111111111,0.4444444444444444,61.77777777777778,0.3378888888888889,0.43877777777777777,-0.01200000000000001,-8.0,-23.0,3.0,-8.0,-7.0,0.0,6.0,0.006000000000000005,0.011999999999999955
32,1024,8,0.24,57,101,20,63.0,16,1.0,40,0.307,0.431,469.0,116,82.0,0.24,57.166666666666664,111.33333333333333,17.5,60.33333333333333,20.333333333333332,3.6666666666666665,42.33333333333333,0.3041666666666667,0.4068333333333333,0.26725,69.375,137.5,14.5,67.625,28.375,10.5,52.625,0.33499999999999996,0.418,0.010999999999999982,7.0,-8.0,0.0,-1.0,-4.0,-2.0,-1.0,0.018000000000000016,0.034999999999999976
28,784,3,0.226,31,52,12,41.0,8,2.0,16,0.273,0.435,253.0,90,67.0,0.22116666666666668,37.666666666666664,60.5,12.5,40.0,12.833333333333332,9.5,28.0,0.2886666666666667,0.4258333333333333,0.22933333333333336,41.0,65.0,12.333333333333334,38.333333333333336,14.0,12.333333333333334,32.0,0.304,0.4363333333333333,0.03900000000000001,-10.0,-12.0,-2.0,-2.0,-11.0,-14.0,-24.0,-0.0010000000000000009,0.059
34,1156,11,0.258,95,152,20,82.0,23,8.0,61,0.326,0.406,663.0,150,68.0,0.27649999999999997,93.5,149.16666666666666,22.833333333333332,83.83333333333333,26.166666666666664,11.666666666666666,66.83333333333333,0.355,0.46316666666666667,0.2902727272727273,102.9090909090909,155.63636363636363,26.0,81.36363636363636,34.72727272727273,17.181818181818183,65.0,0.36872727272727274,0.5176363636363636,-0.030999999999999972,20.0,22.0,1.0,7.0,-1.0,-8.0,0.0,-0.045999999999999985,-0.08499999999999996
28,784,6,0.311,78,181,18,94.0,44,4.0,40,0.357,0.483,628.0,139,91.0,0.2815,60.166666666666664,143.0,13.666666666666666,69.5,32.33333333333333,4.5,31.166666666666664,0.32733333333333337,0.428,0.2901666666666667,70.0,144.5,17.666666666666668,69.0,30.166666666666668,9.333333333333334,30.333333333333332,0.33449999999999996,0.4673333333333334,0.086,49.0,111.0,14.0,63.0,28.0,-1.0,20.0,0.07999999999999996,0.16099999999999998
29,841,4,0.212,48,65,14,39.0,17,1.0,36,0.294,0.404,344.0,98,91.0,0.21949999999999997,54.5,87.16666666666666,15.333333333333332,44.0,24.666666666666664,2.0,47.33333333333333,0.30666666666666664,0.4068333333333333,0.20425,44.5,72.0,12.25,35.5,20.25,3.0,43.75,0.30125,0.37625,-0.031,-26.0,-74.0,-6.0,-21.0,-26.0,-1.0,-31.0,-0.030000000000000027,-0.032999999999999974
34,1156,11,0.263,63,129,11,53.0,30,20.0,48,0.328,0.391,552.0,136,94.0,0.267,62.0,130.5,12.333333333333332,50.83333333333333,25.166666666666664,17.5,42.666666666666664,0.32466666666666666,0.39583333333333337,0.29072727272727267,80.0909090909091,152.9090909090909,16.727272727272727,71.54545454545455,32.18181818181818,11.181818181818182,49.90909090909091,0.35400000000000004,0.4554545454545455,-0.0010000000000000009,13.0,16.0,0.0,9.0,15.0,7.0,20.0,0.02100000000000002,0.010000000000000009
