age,age_sq,n_seasons,prev_AVG,prev_R,prev_H,prev_HR,prev_RBI,prev_2B,prev_SB,prev_BB,prev_OBP,prev_SLG,prev_PA,prev_G,prev_SO,wavg3_AVG,wavg3_R,wavg3_H,wavg3_HR,wavg3_RBI,wavg3_2B,wavg3_SB,wavg3_BB,wavg3_OBP,wavg3_SLG,career_AVG,career_R,career_H,career_HR,career_RBI,career_2B,career_SB,career_BB,career_OBP,career_SLG,trend_AVG,trend_R,trend_H,trend_HR,trend_RBI,trend_2B,trend_SB,trend_BB,trend_OBP,trend_SLG,target_AVG
30,900,1,0.251,42,84,6,39.0,23,5.0,24,0.301,0.379,366.0,114,82.0,0.251,42.0,84.0,6.0,39.0,23.0,5.0,24.0,0.301,0.379,0.251,42.0,84.0,6.0,39.0,23.0,5.0,24.0,0.301,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272
32,1024,2,0.272,34,55,5,22.0,8,0.0,20,0.349,0.416,234.0,84,40.0,0.2636,37.2,66.6,5.4,28.8,14.0,2.0,21.6,0.3298,0.4012,0.2615,38.0,69.5,5.5,30.5,15.5,2.5,22.0,0.32499999999999996,0.39749999999999996,0.02100000000000002,-8.0,-29.0,-1.0,-17.0,-15.0,-5.0,-4.0,0.04799999999999999,0.03699999999999998,0.247
28,784,1,0.265,40,74,16,52.0,15,0.0,25,0.331,0.505,311.0,133,94.0,0.265,40.0,74.0,16.0,52.0,15.0,0.0,25.0,0.331,0.505,0.265,40.0,74.0,16.0,52.0,15.0,0.0,25.0,0.331,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274
29,841,2,0.274,80,135,35,108.0,25,0.0,58,0.352,0.539,566.0,149,143.0,0.27040000000000003,64.0,110.6,27.4,85.6,21.0,0.0,44.8,0.3436,0.5254000000000001,0.2695,60.0,104.5,25.5,80.0,20.0,0.0,41.5,0.3415,0.522,0.009000000000000008,40.0,61.0,19.0,56.0,10.0,0.0,33.0,0.020999999999999963,0.03400000000000003,0.236
30,900,3,0.236,39,74,12,50.0,12,0.0,43,0.325,0.389,366.0,131,81.0,0.2535,52.83333333333333,94.33333333333333,20.333333333333332,69.66666666666666,16.833333333333332,0.0,45.0,0.33499999999999996,0.45833333333333337,0.25833333333333336,53.0,94.33333333333333,21.0,70.0,17.333333333333332,0.0,42.0,0.336,0.4776666666666667,-0.038000000000000034,-41.0,-61.0,-23.0,-58.0,-13.0,0.0,-15.0,-0.02699999999999997,-0.15000000000000002,0.277
31,961,4,0.277,31,52,8,34.0,10,0.0,23,0.352,0.457,216.0,51,40.0,0.26283333333333336,41.83333333333333,73.16666666666666,13.833333333333332,51.666666666666664,13.166666666666666,0.0,35.5,0.34299999999999997,0.44799999999999995,0.263,47.5,83.75,17.75,61.0,15.5,0.0,37.25,0.33999999999999997,0.47250000000000003,0.041000000000000036,-8.0,-22.0,-4.0,-16.0,-2.0,0.0,-20.0,0.02699999999999997,0.068,0.261
32,1024,5,0.261,49,117,22,93.0,23,0.0,46,0.329,0.459,505.0,131,93.0,0.26216666666666666,41.33333333333333,88.16666666666666,15.666666666666666,66.16666666666666,16.833333333333332,0.0,37.83333333333333,0.33599999999999997,0.44666666666666666,0.26260000000000006,47.8,90.4,18.6,67.4,17.0,0.0,39.0,0.3378,0.46980000000000005,-0.016000000000000014,18.0,65.0,14.0,59.0,13.0,0.0,23.0,-0.022999999999999965,0.0020000000000000018,0.235
26,676,1,0.226,49,95,9,34.0,17,4.0,29,0.275,0.359,459.0,134,81.0,0.226,49.0,95.0,9.0,34.0,17.0,4.0,29.0,0.275,0.359,0.226,49.0,95.0,9.0,34.0,17.0,4.0,29.0,0.275,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218
28,784,2,0.218,26,62,4,20.0,9,5.0,15,0.265,0.299,308.0,90,58.0,0.2212,35.2,75.19999999999999,6.0,25.6,12.2,4.6,20.6,0.269,0.32299999999999995,0.222,37.5,78.5,6.5,27.0,13.0,4.5,22.0,0.27,0.32899999999999996,-0.008000000000000007,-23.0,-33.0,-5.0,-14.0,-8.0,1.0,-14.0,-0.010000000000000009,-0.06,0.234
29,841,3,0.234,61,121,16,70.0,33,5.0,40,0.29,0.411,564.0,153,109.0,0.22733333333333333,47.33333333333333,97.0,10.833333333333332,47.33333333333333,22.333333333333332,4.833333333333333,29.833333333333332,0.2791666666666667,0.365,0.226,45.333333333333336,92.66666666666667,9.666666666666666,41.333333333333336,19.666666666666668,4.666666666666667,28.0,0.27666666666666667,0.35633333333333334,0.016000000000000014,35.0,59.0,12.0,50.0,24.0,0.0,25.0,0.024999999999999967,0.11199999999999999,0.254
30,900,4,0.254,79,141,19,82.0,33,8.0,52,0.316,0.437,625.0,158,113.0,0.24133333333333334,64.16666666666666,121.16666666666666,15.5,67.66666666666666,29.0,6.5,41.83333333333333,0.2988333333333333,0.4053333333333333,0.233,53.75,104.75,12.0,51.5,23.0,5.5,34.0,0.28650000000000003,0.3765,0.01999999999999999,18.0,20.0,3.0,12.0,0.0,3.0,12.0,0.026000000000000023,0.026000000000000023,0.266
31,961,5,0.266,29,53,5,29.0,10,4.0,18,0.327,0.402,217.0,57,46.0,0.2566666666666667,51.0,93.66666666666666,11.5,53.5,21.5,5.5,33.0,0.3171666666666667,0.4151666666666667,0.23959999999999998,48.8,94.4,10.6,47.0,20.4,5.2,30.8,0.29460000000000003,0.3816,0.01200000000000001,-50.0,-88.0,-14.0,-53.0,-23.0,-4.0,-34.0,0.01100000000000001,-0.034999999999999976,0.221
33,1089,6,0.221,46,96,5,38.0,30,7.0,34,0.28,0.339,473.0,129,104.0,0.2415,45.83333333333333,89.16666666666666,7.333333333333333,42.33333333333333,23.833333333333332,6.166666666666666,31.666666666666664,0.3016666666666667,0.37633333333333335,0.23650000000000002,48.333333333333336,94.66666666666667,9.666666666666666,45.5,22.0,5.5,31.333333333333332,0.2921666666666667,0.3745,-0.04500000000000001,17.0,43.0,0.0,9.0,20.0,3.0,16.0,-0.046999999999999986,-0.063,0.212
34,1156,7,0.212,14,42,2,17.0,10,5.0,12,0.257,0.303,210.0,72,52.0,0.22399999999999998,27.166666666666664,61.83333333333333,3.5,26.0,16.666666666666664,5.5,20.333333333333332,0.2763333333333333,0.3315,0.233,43.42857142857143,87.14285714285714,8.571428571428571,41.42857142857143,20.285714285714285,5.428571428571429,28.571428571428573,0.2871428571428572,0.36428571428571427,-0.009000000000000008,-32.0,-54.0,-3.0,-21.0,-20.0,-2.0,-22.0,-0.02300000000000002,-0.03600000000000003,0.229
28,784,1,0.305,62,160,12,51.0,21,4.0,16,0.329,0.422,550.0,139,50.0,0.305,62.0,160.0,12.0,51.0,21.0,4.0,16.0,0.329,0.422,0.305,62.0,160.0,12.0,51.0,21.0,4.0,16.0,0.329,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283
29,841,2,0.283,35,62,3,22.0,15,3.0,5,0.306,0.393,231.0,54,30.0,0.29179999999999995,45.8,101.19999999999999,6.6000000000000005,33.6,17.4,3.4,9.4,0.31520000000000004,0.4046,0.294,48.5,111.0,7.5,36.5,18.0,3.5,10.5,0.3175,0.4075,-0.02200000000000002,-27.0,-98.0,-9.0,-29.0,-6.0,-1.0,-11.0,-0.02300000000000002,-0.02899999999999997,0.27
21,441,1,0.286,34,62,6,28.0,9,8.0,21,0.354,0.456,244.0,57,36.0,0.286,34.0,62.0,6.0,28.0,9.0,8.0,21.0,0.354,0.456,0.286,34.0,62.0,6.0,28.0,9.0,8.0,21.0,0.354,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261
22,484,2,0.261,105,167,24,72.0,40,14.0,36,0.305,0.452,684.0,158,116.0,0.271,76.6,125.0,16.799999999999997,54.4,27.6,11.600000000000001,30.0,0.3246,0.4536,0.27349999999999997,69.5,114.5,15.0,50.0,24.5,11.0,28.5,0.3295,0.454,-0.024999999999999967,71.0,105.0,18.0,44.0,31.0,6.0,15.0,-0.04899999999999999,-0.0040000000000000036,0.295
24,576,3,0.295,102,189,24,86.0,43,15.0,54,0.352,0.5,702.0,160,112.0,0.2821666666666667,91.66666666666666,160.5,21.0,71.66666666666666,36.33333333333333,13.5,42.5,0.33666666666666667,0.4766666666666667,0.2806666666666666,80.33333333333333,139.33333333333334,18.0,62.0,30.666666666666668,12.333333333333334,37.0,0.337,0.4693333333333333,0.033999999999999975,-3.0,22.0,0.0,14.0,3.0,1.0,18.0,0.046999999999999986,0.04799999999999999,0.259
25,625,4,0.259,103,163,30,106.0,40,20.0,47,0.31,0.488,686.0,156,128.0,0.2713333333333333,103.0,172.33333333333331,27.0,93.66666666666666,41.0,17.333333333333332,47.5,0.3231666666666666,0.486,0.27525,86.0,145.25,21.0,73.0,33.0,14.25,39.5,0.33025000000000004,0.474,-0.035999999999999976,1.0,-26.0,6.0,20.0,-3.0,5.0,-7.0,-0.04199999999999998,-0.01200000000000001,0.247
26,676,5,0.247,36,61,8,35.0,16,3.0,16,0.294,0.409,269.0,64,47.0,0.259,69.33333333333333,116.33333333333333,18.0,67.16666666666666,28.5,10.666666666666666,32.666666666666664,0.30899999999999994,0.4505,0.26959999999999995,76.0,128.4,18.4,65.4,29.6,12.0,34.8,0.32300000000000006,0.46099999999999997,-0.01200000000000001,-67.0,-102.0,-22.0,-71.0,-24.0,-17.0,-31.0,-0.016000000000000014,-0.07900000000000001,0.28
27,729,6,0.28,96,167,33,109.0,30,13.0,46,0.336,0.513,658.0,148,107.0,0.2655,77.16666666666666,131.0,24.166666666666664,83.83333333333333,27.0,10.833333333333332,36.166666666666664,0.31766666666666665,0.4741666666666666,0.2713333333333333,79.33333333333333,134.83333333333334,20.833333333333332,72.66666666666667,29.666666666666668,12.166666666666666,36.666666666666664,0.3251666666666667,0.4696666666666666,0.03300000000000003,60.0,106.0,25.0,74.0,14.0,10.0,30.0,0.04200000000000004,0.10400000000000004,0.251
28,784,7,0.251,52,100,10,53.0,29,8.0,27,0.303,0.404,435.0,99,65.0,0.26,64.0,115.83333333333333,17.333333333333336,68.66666666666666,27.166666666666664,8.833333333333332,31.5,0.3125,0.44116666666666665,0.2684285714285714,75.42857142857143,129.85714285714286,19.285714285714285,69.85714285714286,29.571428571428573,11.571428571428571,35.285714285714285,0.32200000000000006,0.46028571428571424,-0.029000000000000026,-44.0,-67.0,-23.0,-56.0,-1.0,-5.0,-19.0,-0.03300000000000003,-0.10899999999999999,0.24
26,676,1,0.205,30,45,5,17.0,6,3.0,30,0.303,0.327,255.0,89,74.0,0.205,30.0,45.0,5.0,17.0,6.0,3.0,30.0,0.303,0.327,0.205,30.0,45.0,5.0,17.0,6.0,3.0,30.0,0.303,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
