Player,playerID,sklearn_ERA,sklearn_W,sklearn_L,sklearn_SO,sklearn_WHIP,sklearn_IP,sklearn_SV,sklearn_HR,sklearn_BB
Seth Lugo,lugose01,5.45,10,10,118,1.37,144,0,24,47
Cade Horton,hortoca01,5.46,8,9,127,1.36,141,0,19,43
Eduardo Rodriguez,rodried05,5.49,8,13,109,1.57,152,0,18,56
Taj Bradley,bradlta01,5.51,8,9,135,1.49,138,0,18,46
Justin Verlander,verlaju01,5.56,7,11,97,1.58,134,0,20,45
Jose Berrios,berrijo01,5.57,11,9,124,1.54,161,0,26,50
Zack Littell,litteza01,5.58,10,10,88,1.35,146,0,28,27
Emerson Hancock,hancoem01,5.6,5,6,82,1.48,100,0,18,33
Brad Keller,kellebr01,5.61,2,3,44,1.49,54,5,11,26
Clay Holmes,holmecl01,5.62,8,10,93,1.66,118,10,13,48
David Peterson,peterda01,5.67,9,8,127,1.57,138,0,16,52
JP Sears,searsjp01,5.68,5,12,106,1.46,126,0,24,37
Patrick Corbin,corbipa01,5.69,9,11,137,1.47,158,0,23,55
Bailey Ober,oberba01,5.73,8,11,111,1.29,141,0,25,38
Chris Paddack,paddach01,5.76,3,7,67,1.4,105,0,20,27
Trevor Williams,willitr01,5.76,7,8,93,1.44,136,0,19,32
Jameson Taillon,taillja01,5.79,7,11,113,1.21,141,0,24,24
Zac Gallen,galleza01,5.79,11,12,172,1.63,151,0,26,63
Jose Quintana,quintjo01,5.8,7,11,90,1.46,134,0,21,43
Keider Montero,monteke01,5.83,6,7,84,1.43,102,0,17,33
Adrian Houser,housead01,5.83,9,10,107,1.65,132,0,18,48
Janson Junk,junkja01,5.83,6,7,85,1.41,112,0,19,31
German Marquez,marquge01,5.88,4,14,90,1.56,144,0,23,40
Antonio Senzatela,senzaan01,5.88,2,6,50,1.71,83,0,13,26
Kyle Freeland,freelky01,5.99,7,10,89,1.45,135,0,22,39
Cal Quantrill,quantca01,6.07,3,12,70,1.58,102,0,19,37
Tanner Gordon,gordota01,6.08,6,9,81,1.42,114,0,18,30
Bailey Falter,falteba01,6.13,5,7,64,1.57,107,0,20,38
Andrew Heaney,heanean01,6.13,4,12,102,1.59,126,0,25,43
Lucas Giolito,giolilu01,6.14,6,11,141,1.57,145,0,25,68
Jack Kochanowicz,kochaja01,6.16,4,8,74,1.43,118,0,17,38
Walker Buehler,buehlwa01,6.22,4,9,78,1.6,97,0,15,40
Tomoyuki Sugano,suganto01,6.23,7,10,68,1.46,107,0,23,24
Michael McGreevy,mcgremi01,6.28,5,9,66,1.56,130,0,20,33
Logan Evans,evanslo01,6.28,6,8,101,1.61,119,0,18,41
Andre Pallante,pallaan01,6.29,3,8,90,1.68,110,0,14,40
Jake Irvin,irvinja01,6.29,6,11,90,1.52,121,0,22,40
Colton Gordon,gordoco01,6.3,4,5,69,1.35,91,0,17,19
Randy Vásquez,vasqura02,6.35,3,8,71,1.67,105,0,15,34
Griffin Canning,cannigr01,6.37,5,7,75,1.46,87,0,12,33
Erick Fedde,feddeer01,6.41,3,12,64,1.6,111,0,21,50
Taijuan Walker,walketa01,6.42,5,7,82,1.61,107,0,15,33
Tyler Anderson,anderty01,6.48,3,9,83,1.63,107,0,21,43
Mitchell Parker,parkemi01,6.55,5,7,106,1.66,100,0,16,35
Miles Mikolas,mikolmi01,6.73,4,12,64,1.47,124,0,27,20
Bradley Blalock,blalobr01,6.77,3,6,47,1.56,90,0,14,26
Kyle Hendricks,hendrky01,7.14,4,12,70,1.52,111,0,23,35
